AÑO DEL REPORTE DE INFORMACION;PERIODO DE LA INFORMACION REMITIDA;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO DE LA ENTIDAD ;NOMBRE DEL PROGRAMA ;CODIGO DE LINEA;NOMBRE DE LA LINEA DE INTERVENCION ;CODIGO DE SERVICIO;NOMBRE DEL SERVICIO;UBIGEO DE SU UBICACIÓN GEOGRÁFICA SEGÚN EL INEI;DEPARTAMENTO DEL CENTRO DE ATENCIÓN;PROVINCIA DEL CENTRO DE ATENCIÓN;DISTRITO DEL CENTRO DE ATENCIÓN;CODIGO DEL CENTRO DE ATENCIÓN;NOMBRE DEL CENTRO DE ATENCIÓN;N° DE CENTRO;N° DE NNA ADOPTADOS - SEGÚN PROCEDENCIA CAR - TOTAL;N° DE NNA ADOPTADOS - SEGÚN PROCEDENCIA CAR - HOMBRES;N° DE NNA ADOPTADOS - SEGÚN PROCEDENCIA CAR - MUJERES;N° DE NNA ADOPTADOS - <1 - TOTAL;N° DE NNA ADOPTADOS - <1 - HOMBRES;N° DE NNA ADOPTADOS - <1 - MUJERES;N° DE NNA ADOPTADOS - 1_5 - TOTAL;N° DE NNA ADOPTADOS - 1_5 - HOMBRES;N° DE NNA ADOPTADOS - 1_5 - MUJERES;N° DE NNA ADOPTADOS - 6_11 - TOTAL;N° DE NNA ADOPTADOS - 6_11 - HOMBRES;N° DE NNA ADOPTADOS - 6_11 - MUJERES;N° DE NNA ADOPTADOS - 12_17 - TOTAL;N° DE NNA ADOPTADOS - 12_17 - HOMBRES;N° DE NNA ADOPTADOS - 12_17 - MUJERES;N° DE NNA ADOPTADOS - TIPO DE NNA - REGULAR;N° DE NNA ADOPTADOS - TIPO DE NNA - PRIORITARIO;N° DE NNA ADOPTADOS - TIPO DE FAMILIA - FAMILIA PERUANA;N° DE NNA ADOPTADOS - TIPO DE FAMILIA - FAMILIA EXTRANJERA;N° DE NNA ADOPTADOS - SEGUN PROCESO DE IT - DIT;N° DE NNA ADOPTADOS - SEGUN PROCESO DE IT - JUZGADO;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - PROBLEMAS SALUD;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - NECESIDADES ESPECIALES;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - GRUPO DE HERMANOS;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - MAYORES DE 9 AÑOS;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - ADOLESCENTES;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - INTERÉS SUPERIOR DEL NNA;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - FAMILIA ACOGEDORA
2017;ENE - DIC;17/01/2018;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;210101;PUNO;PUNO;PUNO;UA21;UNIDAD DE ADOPCIÓN DE PUNO;1;5;1;4;0;0;0;4;1;3;1;0;1;0;0;0;5;0;5;0;0;5;0;0;0;0;0;;
2017;ENE - DIC;17/01/2018;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;120101;JUNÍN;HUANCAYO;HUANCAYO;UA12;UNIDAD DE ADOPCIÓN DE JUNÍN;1;11;4;7;0;0;0;5;1;4;4;2;2;2;1;1;3;8;4;7;7;4;0;0;6;1;1;;
2017;ENE - DIC;17/01/2018;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;150122;LIMA METROPOLITANA;LIMA ;MIRAFLORES;UA15;UNIDAD DE ADOPCIÓN - SEDE CENTRAL;1;55;24;31;0;0;0;43;19;24;12;5;7;0;0;0;45;10;35;20;43;12;7;0;0;3;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;040101;AREQUIPA;AREQUIPA;AREQUIPA;UA04;UNIDAD DE ADOPCIÓN DE AREQUIPA;1;8;1;7;0;0;0;6;0;6;2;1;1;0;0;0;4;4;5;3;0;8;0;0;2;2;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;050115;AYACUCHO;HUAMANGA;JESÚS NAZARENO;UA05;UNIDAD DE ADOPCIÓN DE AYACUCHO;1;9;3;6;0;0;0;7;2;5;2;1;1;0;0;0;7;2;5;4;0;9;0;0;2;0;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;080101;CUSCO;CUSCO;CUSCO;UA08;UNIDAD DE ADOPCIÓN DE CUSCO;1;31;13;18;2;1;1;21;10;11;5;2;3;3;0;3;23;8;23;8;17;14;2;0;6;0;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;100101;HUÁNUCO;HUÁNUCO;HUÁNUCO;UA10;UNIDAD DE ADOPCIÓN DE HUÁNUCO;1;8;2;6;0;0;0;5;0;5;2;2;0;1;0;1;5;3;4;4;0;8;0;0;2;0;1;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;UA14;UNIDAD DE ADOPCIÓN DE LAMBAYEQUE;1;3;0;3;0;0;0;1;0;1;2;0;2;0;0;0;2;1;0;3;0;3;0;0;0;1;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;UA13;UNIDAD DE ADOPCIÓN DE LA LIBERTAD;1;7;2;5;0;0;0;4;1;3;3;1;2;0;0;0;3;4;5;2;0;7;0;0;2;2;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;160108;LORETO;MAYNAS;PUNCHANA;UA16;UNIDAD DE ADOPCIÓN DE LORETO;1;9;4;5;0;0;0;8;3;5;1;1;0;0;0;0;7;2;6;3;0;9;1;0;0;1;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;200101;PIURA;PIURA;PIURA;UA20;UNIDAD DE ADOPCIÓN DE PIURA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;210101;PUNO;PUNO;PUNO;UA21;UNIDAD DE ADOPCIÓN DE PUNO;1;3;0;3;0;0;0;0;0;0;2;0;2;1;0;1;1;2;2;1;0;3;0;1;0;1;0;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;120101;JUNÍN;HUANCAYO;HUANCAYO;UA12;UNIDAD DE ADOPCIÓN DE JUNÍN;1;13;6;7;0;0;0;9;3;6;2;2;0;2;1;1;7;6;3;10;6;7;1;0;2;1;2;;
2018;ENE - DIC;15/01/2019;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;150122;LIMA METROPOLITANA;LIMA ;MIRAFLORES;UA15;UNIDAD DE ADOPCIÓN - SEDE CENTRAL;1;43;20;23;0;0;0;31;14;17;11;6;5;1;0;1;28;15;26;17;34;9;4;0;8;2;1;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;040101;AREQUIPA;AREQUIPA;AREQUIPA;UA04;UNIDAD DE ADOPCIÓN DE AREQUIPA;1;20;9;11;0;0;0;13;8;5;5;1;4;2;0;2;12;8;15;5;11;9;1;0;6;1;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;050115;AYACUCHO;HUAMANGA;JESÚS NAZARENO;UA05;UNIDAD DE ADOPCIÓN DE AYACUCHO;1;5;2;3;0;0;0;4;1;3;1;1;0;0;0;0;5;0;4;1;1;4;0;0;0;0;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;080101;CUSCO;CUSCO;CUSCO;UA08;UNIDAD DE ADOPCIÓN DE CUSCO;1;35;18;17;1;0;1;21;13;8;12;4;8;1;1;0;17;18;19;16;24;11;4;0;7;5;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;100101;HUÁNUCO;HUÁNUCO;HUÁNUCO;UA10;UNIDAD DE ADOPCIÓN DE HUÁNUCO;1;13;3;10;0;0;0;10;3;7;3;0;3;0;0;0;6;7;6;7;0;13;1;0;4;2;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;UA14;UNIDAD DE ADOPCIÓN DE LAMBAYEQUE;1;5;1;4;0;0;0;2;0;2;3;1;2;0;0;0;2;3;3;2;1;4;1;0;0;2;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;UA13;UNIDAD DE ADOPCIÓN DE LA LIBERTAD;1;16;8;8;0;0;0;7;4;3;9;4;5;0;0;0;8;8;7;9;1;15;0;0;6;2;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;160108;LORETO;MAYNAS;PUNCHANA;UA16;UNIDAD DE ADOPCIÓN DE LORETO;1;8;6;2;0;0;0;4;2;2;4;4;0;0;0;0;4;4;4;4;0;8;0;0;0;4;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;200101;PIURA;PIURA;PIURA;UA20;UNIDAD DE ADOPCIÓN DE PIURA;1;49;23;26;0;0;0;32;13;19;15;8;7;2;2;0;35;14;28;21;39;10;4;1;0;7;1;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;210101;PUNO;PUNO;PUNO;UA21;UNIDAD DE ADOPCIÓN DE PUNO;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;120101;JUNÍN;HUANCAYO;HUANCAYO;UA12;UNIDAD DE ADOPCIÓN DE JUNÍN;1;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;0;2;1;1;0;2;0;0;0;2;0;;
2019;ENE - DIC;14/01/2020;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;150122;LIMA;LIMA ;MIRAFLORES;UA15;UNIDAD DE ADOPCIÓN - SEDE CENTRAL;1;6;2;4;0;0;0;3;0;3;3;2;1;0;0;0;4;2;4;2;0;6;0;0;2;0;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;040101;AREQUIPA;AREQUIPA;AREQUIPA;UA04;UNIDAD DE ADOPCIÓN DE AREQUIPA;1;9;4;5;0;0;0;7;0;0;1;0;0;1;0;0;5;4;6;3;7;2;0;0;2;0;1;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;050115;AYACUCHO;HUAMANGA ;JESÚS NAZARENO;UA05;UNIDAD DE ADOPCIÓN DE AYACUCHO;1;10;6;4;0;0;0;8;0;0;2;0;0;0;0;0;7;3;5;5;1;9;0;0;2;0;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;080101;CUSCO;CUSCO;CUSCO;UA08;UNIDAD DE ADOPCIÓN DE CUSCO;1;20;8;12;0;0;0;14;0;0;5;0;0;1;0;0;11;9;12;8;14;6;3;0;4;2;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;100101;HUÁNUCO;HUÁNUCO;HUÁNUCO;UA10;UNIDAD DE ADOPCIÓN DE HUÁNUCO;1;3;0;3;0;0;0;2;0;0;1;0;0;0;0;0;1;2;1;2;0;3;0;0;0;1;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;120101;JUNÍN;HUANCAYO ;HUANCAYO ;UA14;UNIDAD DE ADOPCIÓN DE JUNÍN;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;UA13;UNIDAD DE ADOPCIÓN DE LA LIBERTAD;1;17;7;10;1;0;0;5;0;0;7;0;0;4;0;0;3;14;12;5;0;17;0;0;11;1;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;UA16;UNIDAD DE ADOPCIÓN DE LAMBAYEQUE;1;9;6;3;0;0;0;6;0;0;3;0;0;0;0;0;0;9;7;2;0;9;0;0;4;0;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;150122;LIMA ;LIMA ;MIRAFLORES;UA20;UNIDAD DE ADOPCIÓN DE LIMA;1;27;11;16;0;0;0;15;0;0;11;0;0;1;0;0;11;16;14;13;14;13;1;2;4;3;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;160108;LORETO;MAYNAS;PUNCHANA;UA21;UNIDAD DE ADOPCIÓN DE LORETO;1;4;2;2;0;0;0;1;0;0;2;0;0;1;0;0;1;3;3;1;0;4;0;0;0;1;1;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;200101;PIURA;PIURA;PIURA;UA12;UNIDAD DE ADOPCIÓN DE PIURA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2020;ENE - DIC;15/01/2021;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;210101;PUNO;PUNO;PUNO;UA15;UNIDAD DE ADOPCIÓN DE PUNO;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;;
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;040101;AREQUIPA;AREQUIPA;AREQUIPA;UA04;UNIDAD DE ADOPCIÓN DE AREQUIPA;1;18;4;14;0;0;0;7;1;6;9;3;6;2;0;2;2;16;5;13;14;4;0;0;15;1;0;0;0
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;050115;AYACUCHO;HUAMANGA;JESÚS NAZARENO;UA05;UNIDAD DE ADOPCIÓN DE AYACUCHO;1;4;2;2;0;0;0;2;1;1;2;1;1;0;0;0;2;2;2;2;1;3;0;0;0;2;0;0;0
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;080101;CUSCO;CUSCO;CUSCO;UA08;UNIDAD DE ADOPCIÓN DE CUSCO;1;28;15;13;0;0;0;15;10;5;12;5;7;1;0;1;11;17;21;7;17;11;5;0;9;3;0;0;0
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;100101;HUÁNUCO;HUÁNUCO;HUÁNUCO;UA10;UNIDAD DE ADOPCIÓN DE HUÁNUCO;1;3;0;3;0;0;0;2;0;2;1;0;1;0;0;0;2;1;3;0;0;3;0;0;0;1;0;0;0
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;UA14;UNIDAD DE ADOPCIÓN DE LAMBAYEQUE;1;10;3;7;0;0;0;8;3;5;2;0;2;0;0;0;4;6;7;3;4;6;0;1;2;0;0;0;3
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;UA13;UNIDAD DE ADOPCIÓN DE LA LIBERTAD;1;8;3;5;0;0;0;5;2;3;3;1;2;0;0;0;4;4;7;1;0;8;2;0;0;1;1;0;0
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;160108;LORETO;MAYNAS;PUNCHANA;UA16;UNIDAD DE ADOPCIÓN DE LORETO;1;6;4;2;0;0;0;5;3;2;1;1;0;0;0;0;0;6;6;0;0;6;0;0;0;1;0;0;5
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;200101;PIURA;PIURA;PIURA;UA20;UNIDAD DE ADOPCIÓN DE PIURA;1;3;2;1;0;0;0;3;2;1;0;0;0;0;0;0;2;1;3;0;1;2;0;0;0;0;0;0;1
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;210101;PUNO;PUNO;PUNO;UA21;UNIDAD DE ADOPCIÓN DE PUNO;1;2;0;2;0;0;0;1;0;1;1;0;1;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;120101;JUNÍN;HUANCAYO;HUANCAYO;UA12;UNIDAD DE ADOPCIÓN DE JUNÍN;1;5;4;1;0;0;0;3;2;1;2;2;0;0;0;0;4;1;4;1;4;1;0;0;0;1;0;0;0
2021;ENE - DIC;15/01/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;150122;LIMA;LIMA ;MIRAFLORES;UA15;UNIDAD DE ADOPCIÓN - SEDE CENTRAL;1;55;30;25;0;0;0;36;20;16;15;8;7;4;2;2;31;24;45;10;43;12;4;1;6;3;1;0;9
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;040101;AREQUIPA;AREQUIPA;AREQUIPA;UA04;UNIDAD DE ADOPCIÓN DE AREQUIPA;1;8;4;4;1;0;1;6;3;3;1;1;0;0;0;0;7;1;4;4;7;1;0;0;0;1;0;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;050115;AYACUCHO;HUAMANGA;JESÚS NAZARENO;UA05;UNIDAD DE ADOPCIÓN DE AYACUCHO;1;8;3;5;0;0;0;7;3;4;1;0;1;0;0;0;4;4;5;3;1;7;1;0;0;1;2;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;080101;CUSCO;CUSCO;CUSCO;UA08;UNIDAD DE ADOPCIÓN DE CUSCO;1;11;2;9;0;0;0;5;0;5;5;2;3;1;0;1;4;7;3;8;7;4;2;0;4;1;0;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;100101;HUÁNUCO;HUÁNUCO;HUÁNUCO;UA10;UNIDAD DE ADOPCIÓN DE HUÁNUCO;1;6;3;3;0;0;0;5;2;3;1;1;0;0;0;0;4;2;5;1;1;5;0;0;0;0;2;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;UA14;UNIDAD DE ADOPCIÓN DE LAMBAYEQUE;1;9;6;3;0;0;0;5;5;0;4;1;3;0;0;0;4;5;6;3;1;8;1;0;2;1;1;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;UA13;UNIDAD DE ADOPCIÓN DE LA LIBERTAD;1;20;15;5;1;1;0;10;8;2;8;6;2;1;0;1;9;11;15;5;0;20;1;0;5;1;4;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;160108;LORETO;MAYNAS;PUNCHANA;UA16;UNIDAD DE ADOPCIÓN DE LORETO;1;3;2;1;0;0;0;0;0;0;3;2;1;0;0;0;0;3;0;3;0;3;0;0;2;1;0;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;200101;PIURA;PIURA;PIURA;UA20;UNIDAD DE ADOPCIÓN DE PIURA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;210101;PUNO;PUNO;PUNO;UA21;UNIDAD DE ADOPCIÓN DE PUNO;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;120101;JUNÍN;HUANCAYO;HUANCAYO;UA12;UNIDAD DE ADOPCIÓN DE JUNÍN;1;6;2;4;0;0;0;5;2;3;1;0;1;0;0;0;2;4;5;1;3;3;0;0;2;1;0;1;0
2022;ENE - NOV;15/12/2022;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE LA ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;150122;LIMA;LIMA ;MIRAFLORES;UA15;UNIDAD DE ADOPCIÓN - SEDE CENTRAL;1;39;22;17;0;0;0;22;13;9;15;8;7;2;1;1;21;18;27;12;33;6;3;0;0;8;7;0;0
